Time, Object, PosX, PosY, PosZ, ScaleX, ScaleY, ScaleZ, ColX, ColY, ColZ
4.293636,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.03169011,0.6002155,0.7103366
4.305034,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.04080782,0.6002155,0.706613
4.315092,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.02475069,0.6002155,0.7202679
4.326226,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01829728,0.6002155,0.719394
4.339182,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.007054627,0.6002155,0.7226326
4.348605,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.002625093,0.6002155,0.7202384
4.359717,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.007096276,0.6002155,0.7205642
4.370815,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.006336197,0.6002155,0.7229059
4.381795,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.002628691,0.6002155,0.7239522
4.392645,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.002995402,0.6002155,0.7279013
4.405937,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.008211344,0.6002155,0.7283191
4.414993,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01328864,0.6002155,0.730366
4.426411,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01745228,0.6002155,0.7313321
4.437609,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01764885,0.6002155,0.7310605
4.448712,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01239522,0.6002155,0.7294217
4.459836,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0009696186,0.6002155,0.7312747
4.471169,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.00135614,0.6002155,0.732363
4.48209,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.005293719,0.6002155,0.7275987
4.491283,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.007154785,0.6002155,0.7208441
4.502641,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0120905,0.6002155,0.7190874
4.513729,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0115601,0.6002155,0.7122003
4.524948,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01708013,0.6002155,0.7149909
4.536008,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.02160734,0.6002155,0.7102282
4.547052,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0272935,0.6002155,0.7133269
4.55813,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0283851,0.6002155,0.7097438
4.569318,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.02217735,0.6002155,0.7139318
4.580471,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01942854,0.6002155,0.7102147
4.591625,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.01004335,0.6002155,0.7006001
4.602929,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.007259451,0.6002155,0.6961873
4.614339,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.004586853,0.6002155,0.6931813
4.624918,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.0001706183,0.6002155,0.696629
4.636149,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0009690449,0.6002155,0.6978493
4.647234,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.005017355,0.6002155,0.6980277
4.658131,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.007803969,0.6002155,0.697614
4.669938,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.00348001,0.6002155,0.6963054
4.680473,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,-0.0031178,0.6002155,0.6919463
4.691926,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.01779776,0.6002155,0.6983419
4.702707,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02142797,0.6002155,0.6967437
4.713733,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02646696,0.6002155,0.6936942
4.725023,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02701174,0.6002155,0.6954839
4.736281,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02511862,0.6002155,0.6993445
4.747323,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02803917,0.6002155,0.7106845
4.758491,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02059074,0.6002155,0.7077991
4.769293,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02397015,0.6002155,0.7055464
4.780485,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02737296,0.6002155,0.7030878
4.791244,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.02511923,0.6002155,0.7810226
4.802572,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07542956,0.600574,0.8380886
4.813864,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05967969,0.6712869,0.8360251
4.824995,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08718532,0.6812413,0.8415166
4.836444,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08801353,0.6814156,0.84181
4.847405,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08094305,0.6696868,0.8345531
4.85854,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07675171,0.6818061,0.8404789
4.87018,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07464373,0.6792815,0.8388734
4.880604,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05994856,0.6864603,0.8448698
4.89135,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.0477671,0.6903133,0.8519502
4.902798,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.04874367,0.6912389,0.8523696
4.913691,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.04952407,0.6945981,0.855354
4.925108,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05290574,0.6963208,0.8557944
4.936352,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05123371,0.6978792,0.8582482
4.947056,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05232167,0.6995524,0.8598022
4.958092,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05608344,0.6995118,0.8583103
4.969643,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06143743,0.6995606,0.8568655
4.980561,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06245184,0.7001709,0.8573671
4.991397,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05984181,0.7002112,0.8580331
5.003288,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05874646,0.702085,0.860724
5.013935,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.0576399,0.7017523,0.8606274
5.025018,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06943411,0.6990527,0.8551151
5.036123,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07420665,0.6972438,0.8530424
5.046836,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07753217,0.694942,0.8508742
5.058286,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08536834,0.6988224,0.8561913
5.070182,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08184981,0.6987902,0.8554379
5.080341,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07230943,0.7010024,0.857284
5.091583,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06653237,0.7058214,0.8642503
5.102919,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.05880129,0.7029709,0.8619009
5.113594,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06266028,0.7043583,0.8628203
5.124685,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.0646227,0.7033501,0.8610167
5.136832,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06762922,0.6995571,0.8558462
5.14666,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06574279,0.6953731,0.851583
5.158391,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.0792383,0.6934992,0.8496659
5.169292,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08335882,0.6941819,0.8509004
5.180503,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.08197844,0.6964924,0.8529698
5.191156,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07671005,0.6990383,0.8551098
5.202768,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.07070357,0.7012861,0.8576795
5.213437,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06728548,0.7034434,0.860742
5.224493,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06599945,0.7053496,0.8636242
5.236297,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06530505,0.7055447,0.8640308
5.247602,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.0652436,0.7027934,0.8601648
5.258113,Sphere,0.0730027,0.6392155,0.9080963,0.08000001,0.0752,0.08000001,0.06767911,0.6941814,0.8502123
5.269917,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.1675499,0.6002155,0.878535
5.280672,Table,0.08300269,0.3002155,0.7170963,0.8,0.3,0.8,0.2056257,0.6002155,0.8380495
5.291203,Cylinder,0.2720027,0.6482155,0.6990963,0.08000001,0.047,0.08000001,0.2358648,0.7140621,0.7266324
